Event_Date,Channel,Campaign,Browser_type,Engagement_Phase,Users,Sessions,Costs,Influenced_Conversions,Attributed_Initializer_Conversions,Attributed_Holder_Conversions,Attributed_Closer_Conversions,Attributed_IHC_Conversions,Attributed_IHC_Revenue
01-04-20,Affiliates,Campaign_0012,Browser,New Customer Engagement,159,174,,22,4.38,7.05,6.81,6.081,
01-04-20,Affiliates,Campaign_0012,Browser,Return Customer Engagement,7,12,,7,1.23,2.35,2.2,1.926,127.596
01-04-20,Affiliates,Campaign_0012,Browser (mobile),New Customer Engagement,449,498,,41,12.6,12.07,10.07,11.581,
01-04-20,Affiliates,Campaign_0012,Browser (mobile),Return Customer Engagement,16,22,,19,1.37,3.98,3.79,3.047,50.671
01-04-20,Affiliates,Campaign_0335,Browser (mobile),New Customer Engagement,4,4,,0,,,,,
01-04-20,Affiliates,Campaign_0351,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Affiliates,Campaign_0358,Browser,Return Customer Engagement,1,1,,1,0.02,0,0,0.006,0.182
01-04-20,Affiliates,Campaign_0358,Browser (mobile),New Customer Engagement,3,3,,1,0.11,0,0,0.036,
01-04-20,Affiliates,Campaign_0358,Browser (mobile),Return Customer Engagement,1,2,,1,0.02,0.1,0.03,0.048,2.649
01-04-20,Affiliates,Campaign_0362,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Affiliates,Campaign_0362,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Affiliates,Campaign_0385,Browser (mobile),New Customer Engagement,1,2,,0,,,,,
01-04-20,Affiliates,Campaign_0388,Browser,New Customer Engagement,3,4,,133,0,0.26,0,0.088,3.317
01-04-20,Affiliates,Campaign_0388,Browser,Return Customer Engagement,2,3,,135,0,0.4,0,0.135,8.504
01-04-20,Affiliates,Campaign_0388,Browser (mobile),New Customer Engagement,3,3,,0,,,,,
01-04-20,Affiliates,Campaign_0389,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Affiliates,Campaign_0409,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Affiliates,Campaign_0409,Browser (mobile),New Customer Engagement,4,4,,1,0.62,0,0,0.206,2.764
01-04-20,Affiliates,Campaign_0419,Browser,New Customer Engagement,1,1,,0,,,,,
